description,location,latitude,longitude,reference_code,violation_type,recording_date,source,keywords,youtube_id,landmarks,weather_in_media,languages,clothes_and_uniforms,sex,weapons_used,edited,file_size,device_used_to_record,media_content_type,chain_of_custody_notes,finding_aids,international_instrument,urls_and_news,related_incidents,page_title,video_url
"Airstrikes on meara, kfar Hamrah and Asia region towns in the northern countryside of Aleppo.", ALEPPO : Kafr hamrah, , , AL_6e712,"
            Other"," July 30, 2016, 12:01 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=faRugLDeRvE, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",6e71204e9cdb66813fc6f3ed79edf0ff4fb44143ac309b96932fdb12,https://media.syrianarchive.org/files/spoon/sV_20160730_faRugLDeRvE.mp4
Airstrike targeted parts of Anadan City, ALEPPO : Anadan, , , AL_82399,"
            Other"," July 30, 2016, 11:57 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=hGxqRTLnpP8, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",823991f7fc861836e4d9b3e1b896a676f876a7bd98c5962e1e83f451,https://media.syrianarchive.org/files/spoon/sV_20160730_hGxqRTLnpP8.mp4
Helicopters targeting Asia region with explosive barrels, ALEPPO : Asia, , , AL_75d43,"
            Other"," July 30, 2016, 11:37 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=PjgxFgBoZrg, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",75d43445fdd38f3aa795b5e7094de619f58e513a39005dda502f3e95,https://media.syrianarchive.org/files/spoon/sV_20160730_PjgxFgBoZrg.mp4
Warplanes targeting maarat Al Artiq town with two airstrikes, ALEPPO : Maret Artiq, , , AL_6bdc1,"
            Other"," July 30, 2016, 11:20 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=0vVmMv52tog, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",6bdc1e7e063eda45e0b406adacc62d03b205f2f08823cee646712997,https://media.syrianarchive.org/files/spoon/sV_20160730_0vVmMv52tog.mp4
Damages in residential areas and shops on Abian Sam'an town, ALEPPO : Abbin Samaan, , , AL_b00e7,"
            Other"," July 30, 2016, 9:33 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=TaRlRSmZhys, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",b00e76e7265d13d509521a9bb16cc373b5668f82b8dd5e272b958e8e,https://media.syrianarchive.org/files/spoon/sV_20160730_TaRlRSmZhys.mp4
Russian strikes with stereochemistry missiles targeting Anadan and yakd Al Adas town in Aleppo countryside., ALEPPO : Anadan, , , RU_0c73a,"
            Alleged civilian casualties from Russian attacks"," July 30, 2016, 8:20 a.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=nc5IgZcUUxY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0c73a00a7f0e99512f13e95f997b0f60afa5b199dcaa546edf2b6060,https://media.syrianarchive.org/files/spoon/sV_20160730_nc5IgZcUUxY.mp4
Airstrikes on Hraytan city in the northren countryside of Aleppo., ALEPPO : Harithan, , , AL_b6c15,"
            Other"," July 29, 2016, 8:27 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=4LdB1DHVCHg, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",b6c15348b362fc64254fa72bdbaf5b1f3578582135ab658b5421b103,https://media.syrianarchive.org/files/spoon/sV_20160729_4LdB1DHVCHg.mp4
Destruction as a result of airtrikes, ALEPPO : Yaqed Al Adas, , , AL_4b1b9,"
            Unlawful attacks"," July 29, 2016, 8:20 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=12nriDwlYs0, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",4b1b9dd496617c9cf831b5741f6c9766de46c4398ddace2fdd3fdd39,https://media.syrianarchive.orgfiles/spoon/sV_20160729_12nriDwlYs0.mp4
Destruction caused by airstrikes on Al Atarib city, ALEPPO : Al atarib, , , AL_64653,"
            Other"," July 29, 2016, 7:58 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=art4dsSDg1k, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",64653212cd49dd58ddb1940e312b2125808e618f0e00722d7dc2e7ea,https://media.syrianarchive.org/files/spoon/sV_20160729_art4dsSDg1k.mp4
Airstrikes on Aleppo countryside ., None, , , RU_67af8,"
            Alleged civilian casualties from Russian attacks"," July 29, 2016, 7:30 p.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=l8-ZFf2-wCo, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",67af8d82432e27534ffd5c2f4fd7df339ed774d0bb942d157b6e65de,https://media.syrianarchive.org/files/spoon/sV_20160729_l8-ZFf2-wCo.mp4
