Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Russian aircraft targeting the village of Hirbnafsah with 25 raids on the second day of the ceasefire,HAMA,Hirbinafsah,34.9376702,36.6298663,RU_1055,Alleged civilian casualties from Russian attacks,2016-02-28,19.0,42.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=n5cbTcYbnPE,NA,NA,RU_1055,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b7%d8%a7%d8%a6%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%aa%d8%b3%d8%aa%d9%87%d8%af%d9%81%20%d9%82%d8%b1%d9%8a%d8%a9%20%d8%ad%d8%b1%d8%a8%d9%86%d9%81%d8%b3%d9%87%20%d8%a8%d9%80%2025%20%d8%ba%d8%a7%d8%b1%d8%a9%20%d9%81%d9%8a%20%d8%a7%d9%84%d9%8a%d9%88%d9%85%20%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a%20%d9%84%d9%84%d9%87%d8%af%d9%86%d8%a9-n5cbTcYbnPE.mp4,728
Homs: Fourth raid on the town of Teir Maalah by Russian warplanes on the second day of the ceasefire 28/2/2016,HOMS,Ter Maela,34.8015188,36.7085659,RU_1056,Alleged civilian casualties from Russian attacks,2016-02-28,17.0,14.0,تجمع ثوار سوريا SRG,https://www.youtube.com/watch?v=TEVkHL-7t90,NA,NA,RU_1056,https://media.syrianarchive.org/files/russian_attacks/%d8%ad%d9%85%d8%b5%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a9%20%d8%a7%d9%84%d8%b1%d8%a7%d8%a8%d8%b9%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%aa%d9%8a%d8%b1%d9%85%d8%b9%d9%84%d8%a9%20%d8%ab%d8%a7%d9%86%d9%8a%20%d8%a3%d9%8a%d8%a7%d9%85%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a928-2-2016-TEVkHL-7t90.mp4,729
Homs: Russian warplanes in the skies above Talbiseh during the second day of the ceasefire 28/2/2016,HOMS,Talbisah,34.833601,36.735749,RU_1057,Alleged civilian casualties from Russian attacks,2016-02-28,16.0,35.0,تجمع ثوار سوريا SRG,https://www.youtube.com/watch?v=8A5cvgQjPTo,NA,NA,RU_1057,https://media.syrianarchive.org/files/russian_attacks/%d8%ad%d9%85%d8%b5%20%d8%aa%d8%ad%d9%84%d9%8a%d9%82%20%d9%84%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%81%d9%8a%20%d8%b3%d9%85%d8%a7%d8%a1%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%20%d8%ae%d9%84%d8%a7%d9%84%20%d8%ab%d8%a7%d9%86%d9%8a%20%d8%a3%d9%8a%d8%a7%d9%85%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%2028-2-2016-8A5cvgQjPTo.mp4,730
Step || Watch the Russian air strikes on Teir Maalah and the bombing of Talbiseh in a new breach of the ceasefire,HOMS,Talbisah,34.833601,36.735749,RU_1058,Alleged civilian casualties from Russian attacks,2016-02-28,16.0,20.0,Step News Agency,https://www.youtube.com/watch?v=ordHuH554pU,NA,NA,RU_1058,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%20%d8%b4%d8%a7%d9%87%d8%af%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%ac%d9%88%d9%8a%d8%a9%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%aa%d9%8a%d8%b1%d9%85%d8%b9%d9%84%d8%a9%20%d9%88%20%d9%82%d8%b5%d9%81%20%d8%b9%d9%84%d9%89%20%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%b6%d9%85%d9%86%20%d8%ae%d8%b1%d9%82%20%d8%ac%d8%af%d9%8a%d8%af%20%d9%84%d9%84%d9%87%d8%af%d9%86%d8%a9-ordHuH554pU.mp4,731
Russian warplanes targeting the town of Teir Maalah in the northern countryside of Homs 28/2/2016,HOMS,Ter Maela,34.8015188,36.7085659,RU_1059,Alleged civilian casualties from Russian attacks,2016-02-28,15.0,59.0,عين على الوطن-Ein ala watan media office,https://www.youtube.com/watch?v=PlAahjjtUes,NA,NA,RU_1059,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d8%b3%d8%aa%d9%87%d8%af%d9%81%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%aa%d9%8a%d8%b1%20%d9%85%d8%b9%d9%84%d8%a9%20%d9%81%d9%8a%20%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%b5%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a%20%d8%a8%d8%a7%d9%84%d8%b5%d9%88%d8%a7%d8%b1%d9%8a%d8%ae28_2_2016-PlAahjjtUes.mp4,732
Paneling Russian plane a new kind of raid on the city,HOMS,Talbisah,34.833601,36.735749,RU_1060,Alleged civilian casualties from Russian attacks,2016-02-28,15.0,38.0,talbisa h,https://www.youtube.com/watch?v=7NxwQjZRM8o,NA,NA,RU_1060,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%2028%202%202016%20%d8%b7%d8%a7%d8%a6%d8%b1%d8%a9%20%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d9%85%d9%86%20%d9%86%d9%88%d8%b9%20%d8%ac%d8%af%d9%8a%d8%af%20%d8%aa%d8%ba%d9%8a%d8%b1%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-7NxwQjZRM8o.mp4,733
Teir Maalah Homs raids by Russian warplanes center of neighborhoods of the town Teir Maalah,HOMS,Ter Maela,34.8015188,36.7085659,RU_1061,Alleged civilian casualties from Russian attacks,2016-02-28,15.0,7.0,motasem homs,https://www.youtube.com/watch?v=2_n64J0uKlw,NA,NA,RU_1061,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%8a%d8%b1%d9%85%d8%b9%d9%84%d8%a9%20%d8%ad%d9%85%d8%b5%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%20%d9%88%d8%b3%d8%b7%20%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%aa%d9%8a%d8%b1%d9%85%d8%b9%d9%84%d8%a9%2028_2_2016-2_n64J0uKlw.mp4,734
Clearing the streets and removing rubble after Russian air strikes,HOMS,Talbisah,34.833601,36.735749,RU_1062,Alleged civilian casualties from Russian attacks,2016-02-28,12.0,13.0,شبكة تلبيسة مباشر-Talbisah network,https://www.youtube.com/watch?v=Zqwxf-UVHZA,NA,NA,RU_1062,https://media.syrianarchive.org/files/russian_attacks/%d9%81%d8%aa%d8%ad%20%d8%a7%d9%84%d8%b7%d8%b1%d9%82%d8%a7%d8%aa%20%d9%88%d8%a5%d8%b2%d8%a7%d9%84%d8%a9%20%d8%a7%d9%84%d8%a3%d9%86%d9%82%d8%a7%d8%b6%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9-Zqwxf-UVHZA.mp4,735
The Lattameneh Civil Defense restores roads that were destroyed by Russia.,HAMA,latamneh,35.326749,36.621766,RU_1063,Alleged civilian casualties from Russian attacks,2016-02-28,12.0,8.0,محمود الحموي-Mahmoud Alhamwi,https://www.youtube.com/watch?v=O_Qg0-bl1TY,NA,NA,RU_1063,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%af%d9%81%d8%a7%d8%b9%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%20%d9%81%d9%8a%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%a7%d9%84%d9%84%d8%b7%d8%a7%d9%85%d9%86%d8%a9%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d8%a9%20%d9%8a%d9%8f%d8%b5%d9%84%d8%ad%20%d8%a7%d9%84%d8%b7%d8%b1%d9%82%d8%a7%d8%aa%20%d8%a7%d9%84%d8%aa%d9%8a%20%d8%af%d9%85%d8%b1%d9%87%d8%a7%20%d8%a7%d9%84%d8%af%d8%a8%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%2028%202%202016-O_Qg0-bl1TY.mp4,736
Shelling by Russian aircrafts on Daret Ezzah this morning.,ALEPPO,Darat Izzah,36.2833397,36.8499899,RU_1064,Alleged civilian casualties from Russian attacks,2016-02-28,11.0,54.0,قناة الجسر الفضائية-Jisr satellite media channel,https://www.youtube.com/watch?v=uIxqvG7gTW0,NA,NA,RU_1064,https://media.syrianarchive.org/files/russian_attacks/%d9%82%d8%b5%d9%81%20%20%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%af%d8%a7%d8%b1%d8%a9%20%d8%b9%d8%b2%d8%a9%20%d8%b5%d8%a8%d8%a7%d8%ad%20%d8%a7%d9%84%d9%8a%d9%88%d9%85-uIxqvG7gTW0.mp4,737
A violation of the ceasefire committed by Russian aircraft in Hirbinafsah in Hama province,NA,NA,34.9376702,36.6298663,RU_1065,Alleged civilian casualties from Russian attacks,2016-02-28,11.0,22.0,SMO Syria,https://www.youtube.com/watch?v=J3XLbLlmllo,NA,NA,RU_1065,https://media.syrianarchive.org/files/russian_attacks/%23%d8%ae%d8%b1%d9%82%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%20%d9%85%d9%86%20%d9%82%d8%a8%d9%84%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%ad%d8%b1%d8%a8%d9%86%d9%81%d8%b3%d9%87%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d9%87%201-J3XLbLlmllo.mp4,738
A violation of the ceasefire committed by Russian aircraft in Hirbinafsah in Hama province,NA,NA,34.9376702,36.6298663,RU_1066,Alleged civilian casualties from Russian attacks,2016-02-28,11.0,22.0,SMO Syria,https://www.youtube.com/watch?v=ktAg_2zGmk4,NA,NA,RU_1066,https://media.syrianarchive.org/files/russian_attacks/%23%d8%ae%d8%b1%d9%82%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%20%d9%85%d9%86%20%d9%82%d8%a8%d9%84%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%ad%d8%b1%d8%a8%d9%86%d9%81%d8%b3%d9%87%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d9%87%202-ktAg_2zGmk4.mp4,739
Hama south - Hirbnafsah: a field trip to monitor the destruction happening in the town due to the Russian aviation,NA,NA,34.9376702,36.6298663,RU_1067,Alleged civilian casualties from Russian attacks,2016-02-28,11.0,11.0,تجمع ثوار سوريا SRG,https://www.youtube.com/watch?v=h_AtRaC7GxY,NA,NA,RU_1067,https://media.syrianarchive.org/files/russian_attacks/%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d9%87%20%d8%a7%d9%84%d8%ac%d9%86%d9%88%d8%a8%d9%8a%20-%20%d8%ad%d8%b1%d8%a8%d9%86%d9%81%d8%b3%d8%a9%20%20-%20%d8%ac%d9%88%d9%84%d8%a9%20%d9%85%d9%8a%d8%af%d8%a7%d9%86%d9%8a%d8%a9%20%d8%aa%d8%b1%d8%b5%d8%af%20%d8%a7%d9%84%d8%af%d9%85%d8%a7%d8%b1%20%d8%a7%d9%84%d8%ad%d8%a7%d8%b5%d9%84%20%d9%81%d9%8a%20%d8%a7%d9%84%d8%a8%d9%84%d8%af%d8%a9%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a-h_AtRaC7GxY.mp4,740
Russian warplanes fly in the atmosphere of the west countryside of Aleppo after the implementation of several raids on Mudbnh Dara Aza,ALEPPO,Darat Izzah,36.2833397,36.8499899,RU_1068,Alleged civilian casualties from Russian attacks,2016-02-28,4.0,54.0,Mohammed Rasoul,https://www.youtube.com/watch?v=pgU1g9rJyvA,NA,NA,RU_1068,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d8%ad%d9%84%d9%8a%d9%82%20%d8%a7%d9%84%d8%b7%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%81%d9%8a%20%d8%a3%d8%ac%d9%88%d8%a7%d8%a1%20%d8%b1%d9%8a%d9%81%20%d8%ad%d9%84%d8%a8%20%d8%a7%d9%84%d8%ba%d8%b1%d8%a8%d9%8a%20%d8%a8%d8%b9%d8%af%20%d8%aa%d9%86%d9%81%d9%8a%d8%b0%20%d8%b9%d8%af%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%b9%d9%84%d9%89%20%d9%85%d8%af%d8%a8%d9%86%d8%a9%20%d8%af%d8%a7%d8%b1%d8%a9%20%d8%b9%d8%b2%d8%a9%2028_02_2016-pgU1g9rJyvA.mp4,741
#Witness: 8 killed by Russian airstrikes on the town of Kafr Hamra in the northern countryside of Aleppo last night 27/2/2016,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1069,Alleged civilian casualties from Russian attacks,2016-02-27,17.0,3.0,مركز حلب الإعلامي AMC-Aleppo media centre,https://www.youtube.com/watch?v=dWu-7CLHpvw,NA,NA,RU_1069,https://media.syrianarchive.org/files/russian_attacks/%23%d8%b4%d8%a7%d9%87%d8%af%20%d8%ab%d9%85%d8%a7%d9%86%d9%8a%d8%a9%20%d8%b4%d9%87%d8%af%d8%a7%d8%a1%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d9%82%d8%b5%d9%81%20%d8%ac%d9%88%d9%8a%20%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a8%d9%84%d8%af%d8%a9%20%d9%83%d9%81%d8%b1%20%d8%ad%d9%85%d8%b1%d8%a9%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%84%d8%a8%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a%20%d9%84%d9%8a%d9%84%d8%a9%20%d8%a3%d9%85%d8%b3%2027-2-2016-dWu-7CLHpvw.mp4,742
Sham Aleppo countryside Kafr Hamra martyrs the Russian aviation bombarded video very harsh warning,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1070,Alleged civilian casualties from Russian attacks,2016-02-27,15.0,1.0,ShaamNetwork S.N.N,https://www.youtube.com/watch?v=OdP2PVrzlNw,NA,NA,RU_1070,https://media.syrianarchive.org/files/russian_attacks/%d8%b4%d8%a7%d9%85%20%d8%b1%d9%8a%d9%81%20%d8%ad%d9%84%d8%a8%20%d9%83%d9%81%d8%b1%d8%ad%d9%85%d8%b1%d8%a9%20%d8%b4%d9%87%d8%af%d8%a7%d8%a1%20%d8%a8%d9%82%d8%b5%d9%81%20%d9%84%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%2027%202%202016%20%d8%aa%d8%ad%d8%b0%d9%8a%d8%b1%20%d8%a7%d9%84%d9%81%d9%8a%d8%af%d9%8a%d9%88%20%d9%82%d8%a7%d8%b3%d9%8a%20%d8%ac%d8%af%d8%a7%d9%8b-OdP2PVrzlNw.mp4,743
Russian aircrafts commit a massacre in Kafar Hamra in Aleppo just an hour before the ceasefire began.,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1071,Alleged civilian casualties from Russian attacks,2016-02-27,14.0,16.0,قناة الجسر الفضائية-Jisr satellite media channel,https://www.youtube.com/watch?v=5f0D2T7pEB0,NA,NA,RU_1071,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d8%b1%d8%aa%d9%83%d8%a8%20%d9%85%d8%ac%d8%b2%d8%b1%d8%a9%20%d9%81%d9%8a%20%d9%83%d9%81%d8%b1%20%d8%ad%d9%85%d8%b1%d8%a7%20%d8%a8%d8%ad%d9%84%d8%a8%20%d9%82%d8%a8%d9%84%20%d8%b3%d8%a7%d8%b9%d8%a9%20%d9%88%d8%a7%d8%ad%d8%af%d8%a9%20%d9%85%d9%86%20%d8%a8%d8%af%d8%a1%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9-5f0D2T7pEB0.mp4,744
The massacre of Kafr Hamra,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1072,Alleged civilian casualties from Russian attacks,2016-02-27,13.0,28.0,الدفاع المدني السوري حلب-Aleppo civil defense,https://www.youtube.com/watch?v=eGMGdan99cM,NA,NA,RU_1072,https://media.syrianarchive.org/files/russian_attacks/l%d9%85%d8%ac%d8%b2%d8%b1%d8%a9%20%d9%83%d9%81%d8%b1%20%d8%ad%d9%85%d8%b1%d8%a926-2-2016-eGMGdan99cM.mp4,745
Step || Watch smoke rising after Russian air strikes on the town of Darat Izzah yesterday,ALEPPO,Darat Izzah,36.2833397,36.8499899,RU_1073,Alleged civilian casualties from Russian attacks,2016-02-27,12.0,38.0,Step News Agency,https://www.youtube.com/watch?v=-Gf9Ndu6X88,NA,NA,RU_1073,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%d8%b4%d8%a7%d9%87%d8%af%20%d8%aa%d8%b5%d8%a7%d8%b9%d8%af%20%d8%a7%d9%84%d8%af%d8%ae%d8%a7%d9%86%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%ac%d9%88%d9%8a%d8%a9%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%af%d8%a7%d8%b1%d8%a9%20%d8%b9%d8%b2%d8%a9%20%d9%8a%d9%88%d9%85%20%d8%a3%d9%85%d8%b3--Gf9Ndu6X88.mp4,746
"Russian air force in first violation of the truce bombard "" Maaret Alartiqe"" Aleppo",NA,NA,36.250556,37.053611,RU_1074,Alleged civilian casualties from Russian attacks,2016-02-27,11.0,20.0,Step News Agency,https://www.youtube.com/watch?v=TDtVh9hRva4,NA,NA,RU_1074,https://media.syrianarchive.org/files/russian_attacks/Russian%20air%20force%20in%20first%20violation%20of%20the%20truce%20bombard%20'%20Maaret%20Alartiqe'%20Aleppo-TDtVh9hRva4.mp4,747
Step || The first violation of the ceasefire by Russian aircraft targeting Ma'arat al-Artiq town in Aleppo countryside 27/2/2016,NA,NA,36.250556,37.053611,RU_1075,Alleged civilian casualties from Russian attacks,2016-02-27,9.0,58.0,Step News Agency,https://www.youtube.com/watch?v=4hkJXln8qe4,NA,NA,RU_1075,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%20%d8%a7%d9%88%d9%84%20%d8%ae%d8%b1%d9%82%20%d9%81%d9%8a%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%a7%d8%b3%d8%aa%d9%87%d8%af%d9%81%20%d8%a8%d9%84%d8%af%d8%a9%20%d9%85%d8%b9%d8%a7%d8%b1%d8%a9%20%d8%a7%d9%84%d8%a7%d8%b1%d8%aa%d9%8a%d9%82%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%84%d8%a8%2027%202%202016-4hkJXln8qe4.mp4,748
Two families are missing under rubble as a result of an airstrike. The civil defense team is looking for them.,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1076,Alleged civilian casualties from Russian attacks,2016-02-27,9.0,29.0,الدفاع المدني السوري حلب-Aleppo civil defense,https://www.youtube.com/watch?v=7YHbL5fqzxY,NA,NA,RU_1076,https://media.syrianarchive.org/files/russian_attacks/26-2-2016-7YHbL5fqzxY.mp4,749
Wounded being transported to a field hospital,HOMS,Talbisah,34.833601,36.735749,RU_1077,Alleged civilian casualties from Russian attacks,2016-02-27,7.0,51.0,شبكة تلبيسة مباشر-Talbisah network,https://www.youtube.com/watch?v=3YHxsoFxpgw,NA,NA,RU_1077,https://media.syrianarchive.org/files/russian_attacks/%d9%86%d9%82%d9%84%20%d8%a3%d8%ad%d8%af%20%d8%a7%d9%84%d8%ac%d8%b1%d8%ac%d9%89%20%d8%a7%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%b4%d9%81%d9%89%20%d8%a7%d9%84%d9%85%d9%8a%d8%af%d8%a7%d9%86%d9%8a-3YHxsoFxpgw.mp4,750
Russian aircrafts bombard Lattameneh with high explosive rockets hours before the ceasefire.,HAMA,latamneh,35.326749,36.621766,RU_1078,Alleged civilian casualties from Russian attacks,2016-02-27,6.0,50.0,محمود الحموي-Mahmoud Alhamwi,https://www.youtube.com/watch?v=Bn2Ak2POvNM,NA,NA,RU_1078,https://media.syrianarchive.org/files/russian_attacks/%d9%82%d8%a8%d9%84%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%20%d8%a8%d8%b3%d8%a7%d8%b9%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d9%82%d8%b5%d9%81%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%a7%d9%84%d9%84%d8%b7%d8%a7%d9%85%d9%86%d8%a9%20%d8%a8%d8%b5%d9%88%d8%a7%d8%b1%d9%8a%d8%ae%20%d8%b4%d8%af%d9%8a%d8%af%d8%a9%20%d8%a7%d9%84%d8%a5%d9%86%d9%81%d8%ac%d8%a7%d8%b1%2027%202%202016-Bn2Ak2POvNM.mp4,751
Three families including two female children were pulled out from under the rubble an hour before the ceasefire.,ALEPPO,Kafr hamrah,36.253303,37.087435,RU_1079,Alleged civilian casualties from Russian attacks,2016-02-27,6.0,5.0,المكتب الإعلامي في مدينة كفرحمرة-Media office in Kafr hamrah,https://www.youtube.com/watch?v=eQTEryVS0tE,NA,NA,RU_1079,https://media.syrianarchive.org/files/russian_attacks/%d9%83%d9%81%d8%b1%d8%ad%d9%85%d8%b1%d8%a9%20-%20%d9%85%d8%ac%d8%b2%d8%b1%d8%a9%20%d8%a8%d8%ad%d9%82%203%20%d8%b9%d8%a7%d8%a6%d9%84%d8%a7%d8%aa%20%d8%a8%d9%8a%d9%86%d9%87%d9%85%20%d8%b7%d9%81%d9%84%d8%aa%d9%8a%d9%86%20%d8%aa%d9%85%20%d8%a7%d8%ae%d8%b1%d8%a7%d8%ac%d9%87%d9%85%20%d9%85%d9%86%20%d8%aa%d8%ad%d8%aa%20%d8%a7%d9%84%d8%a7%d9%86%d9%82%d8%a7%d8%b6%20%d9%82%d8%a8%d9%8a%d9%84%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9%20%d8%a8%d8%b3%d8%a7%d8%b9%d8%a9%2027-2-eQTEryVS0tE.mp4,752
Talbiseh fires in the houses of civilians as a result of Russian raids,HOMS,Talbisah,34.833601,36.735749,RU_1080,Alleged civilian casualties from Russian attacks,2016-02-26,21.0,28.0,talbisa h,https://www.youtube.com/watch?v=tutP7RGejAg,NA,NA,RU_1080,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d8%b4%d8%aa%d8%b9%d8%a7%d9%84%20%d9%84%d9%84%d8%ad%d8%b1%d8%a7%d8%a6%d9%82%20%d9%81%d9%8a%20%d9%85%d9%86%d8%a7%d8%b2%d9%84%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%d9%8a%d9%86%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%2026%202%202016-tutP7RGejAg.mp4,753
Talbiseh injures after Russian bombardment of the city,HOMS,Talbisah,34.833601,36.735749,RU_1081,Alleged civilian casualties from Russian attacks,2016-02-26,20.0,40.0,talbisa h,https://www.youtube.com/watch?v=N8RuGQBLg_0,NA,NA,RU_1081,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%2026%202%202016%20%d8%a5%d8%b5%d8%a7%d8%a8%d8%a7%d8%aa%20%d8%a7%d9%84%d9%82%d8%b5%d9%81%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-N8RuGQBLg_0.mp4,754
